SessionID,Label,QuizID,StudentID,Seq,label
0,same,13384,8054,CV Dis SI CV Dis CV CE SI FV CE CE FE SI FE SI FE FE FE Doc FE SI FE SI FE BI FE SI FE FV FE SI FV FV FE FV Dis SUB,0
0,same,13384,8070,CV PE PE PE PE BI CV CE CE SI FV FE PE FE SI FE SUB,0
0,same,13384,8286,CV CE FV CE SI FE SI FE SI FE FE FE BI FE BI CE SI FE FE SUB,0
0,different,13384,8322,CV SI FV BI PV PE SI PE SI PE Dis SI Doc FV PE PV PE SI PE PV SI PE PV PE PV SI PV SI PE MI PE PV SI PV PE PE PE PE FV FV BI FV BI CE FV MI PE SI FE FE FV BI FV FV SI FV SI FE SI FE MI FV SUB,1
0,different,13384,8325,CE SI FE PE BI PV SI PV SI PE SI PE SI PE SI PV BI PE SI Dis BI CV BI CV BI CV BI CV SI CE SI FV FV SI PV FV SI CE SI FE FE Doc FE SI FE Doc FE Doc FE SI FE PV SI FE MI Doc FE BI FE SI Doc SI FE SI FE SUB,1
0,same,13384,8329,CV CE SI FV FE SUB,0
0,same,13384,8332,CV CE FV CE CE SUB,0
0,different,13384,8333,CV FV FV SI CE PE SI PV SI PE PE MI PV SI PE SI PE PE PE SI PE SI Dis Dis Dis PE SI FV BI FV SI PE BI FV SI FV BI FE SI CE SI FE FE FE SI Doc SUB,1
1,same,13389,8286,CV BI PE SI CV BI CV BI CV CV CV BI CV SI CE SI FE SI PE SI PV FE MI PV MI FE FE BI PV FE SI FE SI FE SUB,0
1,better,13389,8329,CV SI PE SI CV SI CV CV BI CV SI CV CV CE SI CV FE FE FE SI FE CV FE SI FE MI FE FE FE SI FV SUB,0
1,same,13389,8332,CV BI PV BI PE PE SI Dis PV BI PV SI PE SI PV SI PE PE PV SI PV PE PV SI PV SI PE PV SI PE SI PV PE PE BI PV BI PE BI PE Dis SI PE SI PV BI PE BI PE BI PV PE PV PE PE BI PE MI Dis PE PE Doc PE BI CV CV CV CV SI PE SI PE CV PE SI PE BI CV CE SI FE SI FE SI FE FE Dis SUB,0
1,same,13389,8335,CV BI Doc SI PE SI PE BI PE SI PE SI PV SI PE SI PE BI PE SI PE BI CV BI CV Dis CV BI CE SI CV SI CE SI FE MI Dis SI FE BI FE SI FE SI FE BI Dis SUB,0
2,same,13402,8286,CV PE SI CE SI CE SI FE CE FE BI FE BI PE SI CE FE SUB,0
2,different,13402,8325,CV CV SI PV CV SI PE SI CE FE Doc FE SI CE Doc CE Doc CE SI FE PV SI FE MI Doc FE BI FE SI Doc SI FE SI FE SUB,1
2,better,13402,8329,CV CE BI CE FE CE SI CE SI FE CE FE MI FE SI FE SUB,0
2,same,13402,8332,CV PE PE BI CE MI Dis FE FE Doc FE SUB,0
3,same,13420,8286,CV PE PE Dis BI CV BI CV CV BI CE SI FV BI FE SI FE SI FE SI FE FE SI FE FV Dis SI FE SI FV BI FE SI FE FE SI FV FV FE BI FE SI FV FE SI FV FE FV FV SI FE SI FV FE FV FE FV BI FE SI Dis FV SI FV FV FE SI FE FV FV FE BI FV SI FV FE SI FV SI FE SI FV BI FE MI FE FE FE Dis BI FV SI FE SI FV FE FV FE SI FE SI FV Dis BI FE MI FE FV FE FV FV BI FE MI FV FE FV BI FV BI FE FE FV FE BI FV SI FE FE BI FV FE FE FV FE FV FE SI FV FV SI FE SI Dis FV BI FV FV FE BI FE FE FV FE FV FE FE FV FE SI FV FV FE BI FE SI FV FE FE FV BI FV FE SI Doc Dis FE FV FV FV FV FV BI FV BI FV FV FV FV FV Dis BI FV SI FE SI FV FE SI FE BI FV BI FV SI FE MI FV BI FV SI FE FV FE BI FV FV FE BI FV FE FV FE SI FV FE FE FV FE FE FV FV FE SI FV BI PE SI PE PE PE PE PE SI PE PE PE SI Doc PE Doc PE PE PE BI PE PE PE PE MI PE SI PE CE SI CE SI Dis SUB,0
3,better,13420,8329,CV SI PE BI CV SI PE PE Dis BI CV SI CV CE CV CE CV CE SI FV FE SUB,0
3,same,13420,8332,CV PE BI PE MI PE SI PE PE SI PV PE PE PE SI PE CV BI PE PE BI Dis Dis SI FV SI Dis SI CV SI CE SI CE CV SI CE SUB,0
4,none,13508,8048,CV CE SI CV CE CV MI FV SI CE SI CE SI FV SI CE SI CE SUB,1
4,same,13508,8286,CV BI CE BI CE SI FV SI FV FV FE FV FE FE FV FV BI FE SI FE FV FE FV FE FV FE SI FE SI FE SI FV FE SI Dis SI Dis FV FE FV FE SI FE SI FE SI FE FE FE BI FE SUB,0
4,better,13508,8329,CV CE FV SI CE SI FV SI PV PE SI FE SI FE SI FE FV PE PE PE SUB,0
4,same,13508,8332,CV BI CV SI CE SI FV SI CE CE FV SI FV FE FV SI FV SI FE FV SI FE SI FV FE FE BI FV SUB,0
5,none,13509,8048,CV SI PE SI PE SI CV SI PE SI PE BI CV MI CV CE FV CE CE Dis BI FV FE FV FE FV FE SI FV SI FE MI FV FE FV SI FE FV SI FE SI FE SUB,1
5,same,13509,8286,CV SI CV CV CE CV CE CE FV FV BI FE SI FE FV FE FV FE FV FE SI FE SI FE SI FV FE SI Dis SI Dis FV FE FV FE SI FE SI FE SI FE FE FE BI FE SUB,0
5,same,13509,8329,CV SI PE SI CV SI PV PE SI CE SI CE SI CE FV PE PE PE BI PV PV MI PE CV SI FV CE SI FV SI FE FV FE FV FE SI FV FE PE FE SI FV SI FE SUB,0
5,same,13509,8332,CV SI PE PE CV SI CV CE FV SI CV SI CE FV SI CE SI FV CE CE BI FV SUB,0
6,none,13512,8048,CV PE PE Dis BI CV CE CV CE CV CE SI FV SI FE MI FV FE FV SI FE FV SI FE SI FE SUB,1
6,same,13512,8286,CV CV BI CE SI CE CV CE CV CE FV FE SI CE SI FE SI FV FE SI Dis SI Dis FV FE FV FE SI FE SI FE SI FE FE FE BI FE SUB,0
6,same,13512,8299,CV SI PE SI Dis SI PE SI PV SI PE SI CE SI FE SI FE SI PV SI FE SI FE SI FE SI CE FE SI FE FE SI FE SI FE SI FE MI FE SI FE SI FE SUB,0
6,same,13512,8316,CV BI CV CE CE MI FV SI FE SI FE SI FV Dis SUB,0
6,different,13512,8322,CV SI CV FV SI FV SI FV SI FV BI PV PE SI PE SI PE Dis SI Doc FV PE PV PE SI PE CV SI CE CV CE CV SI CV SI FE MI FE FV SI FV FE PE FE FE FV FV BI FV SUB,1
6,same,13512,8324,CV SI PE PV PE SI CV SI PE CV PE PE CV BI CV CE CV CE CV CE CV CE CE SUB,0
6,same,13512,8325,CV MI CV SI PE SI CV SI PE SI PE BI CV CE SI CV CE CV SI CE SI CE SUB,0
6,same,13512,8329,CV PE PE PE BI PV PV MI PE PV SI CV PE SI CV SI CE CV CE CV CE SI FV FE PE FE SI FV SI FE SUB,0
6,same,13512,8332,CV SI PV SI PE CV SI PE SI CV PE PE BI CV BI CE SUB,0
6,different,13512,8333,CV BI FV SI FV BI CV FV FV FV FV SI FE PE SI PV SI PE CE MI CV SI CE SI FE FE FE SI FE SI Dis Dis Dis PE SI FV BI FV SI CE SUB,1
7,none,13514,8048,CV SI CE MI FV FE FV SI FE FV SI FE SI FE SUB,1
7,different,13514,8286,CV CE SI PE SI CE SI FV FE SI Dis SI Dis FV FE FV FE SI FE SI FE SI FE FE FE BI FE SUB,1
7,different,13514,8322,CV SI FV SI FV SI FV BI PV PE SI PE SI PE Dis SI Doc FV PE PV PE SI PE PV SI PE PV PE PV SI PV SI CE MI CE CV SI FV CE PE CE CE FV FV BI FV SUB,1
7,same,13514,8324,CV BI CE SI CE SUB,0
7,close,13514,8325,CV SI CE SI FV CE SI PE CE BI PV SI PE FE SI FE CE BI FV SI CV SI CE SI CE SI CE SI FV SUB,1
7,same,13514,8329,CV CE PE CE SI FV SI FE SUB,0
7,same,13514,8332,CE Dis SI CE SI FV SUB,0
7,same,13514,8333,CV SI FV BI PV CV FV FV FV SI FE PE SI PV SI PE PE MI PV SI PE SI CE CE CE SI FE SI Dis Dis Dis PE SI FV SUB,0
8,same,13516,8286,CV CE SI Dis SI Dis FV FE FV FE SI FE SI FE SI FE FE FE BI FE BI FE SI FE FE SUB,0
8,same,13516,8322,CV SI FV SI FV BI PV PE SI PE SI PE Dis SI Doc FV PE PV PE SI PE PV SI PE PV PE PV SI PV SI PE MI PE PV SI CV PE PE PE PE FV FV BI FV BI FE FV MI CE SI FE FE FV BI FV FV SI FV SI FE SI FE MI FV SUB,0
8,different,13516,8325,CV PE SI PE PE BI PV SI PE FE SI FE PE BI CV SI PV SI PE SI PE SI PE SI CV BI CE SI Dis BI FV SUB,1
8,better,13516,8329,CV SI CE BI Dis CE SI FV FE SI FV FE SUB,0
8,same,13516,8332,CV BI CE SUB,0
8,different,13516,8333,CV BI PV PV FV FV FV SI FE PE SI PV SI PE PE MI PV SI PE SI PE PE PE SI CE SI Dis Dis Dis PE SI FV SUB,1
